,start_time,end_time,start_soc,end_soc,ev_id,station_type,station_power
0,2023-01-01 18:31:00.295729,2023-01-01 20:09:22.394494,0.9099679849340866,0.9909967984934087,06aff8a0aacde61d7d4187cc27f4ae8d,Residential Slow (3.6 kW),3.6
1,2023-01-02 18:34:00.296972,2023-01-02 18:43:52.605614,0.9909647834274953,0.9990964783427495,06aff8a0aacde61d7d4187cc27f4ae8d,Residential Slow (3.6 kW),3.6
2,2023-01-03 18:34:00.303901,2023-01-03 18:35:01.633531,0.9990644632768361,0.9999064463276837,06aff8a0aacde61d7d4187cc27f4ae8d,Residential Slow (3.6 kW),3.6
3,2023-01-04 18:26:00.300666,2023-01-04 18:26:08.532394,0.9998744312617702,0.999987443126177,06aff8a0aacde61d7d4187cc27f4ae8d,Residential Slow (3.6 kW),3.6
4,2023-01-05 18:35:00.298069,2023-01-05 18:35:03.220007,0.9999554280602636,0.9999955428060263,06aff8a0aacde61d7d4187cc27f4ae8d,Residential Slow (3.6 kW),3.6
5,2023-01-06 18:28:00.300141,2023-01-06 18:28:02.691100,0.9999635277401129,0.9999963527740113,06aff8a0aacde61d7d4187cc27f4ae8d,Residential Slow (3.6 kW),3.6
6,2023-01-01 08:27:24.218370,2023-01-01 08:46:06.204902,0.8813283475783475,0.9881328347578348,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
7,2023-01-01 13:18:31.878468,2023-01-01 13:37:31.518199,0.8794611823361823,0.9879461182336182,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
8,2023-01-02 08:23:04.447276,2023-01-02 08:59:55.535828,0.7661348646723646,0.9766134864672364,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
9,2023-01-02 13:22:38.779571,2023-01-02 13:44:09.571928,0.8634738853276352,0.9863473885327635,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
10,2023-01-03 08:25:13.795060,2023-01-03 09:02:14.961838,0.7650688985042734,0.9765068898504273,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
11,2023-01-03 13:21:17.361895,2023-01-03 13:42:01.882613,0.8683680009615384,0.9868368000961538,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
12,2023-01-04 08:20:21.599880,2023-01-04 08:56:34.065420,0.7702199909793447,0.9770219990979345,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
13,2023-01-04 13:17:21.928853,2023-01-04 13:38:04.784835,0.8685440788700143,0.9868544078870014,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
14,2023-01-05 08:18:00.973021,2023-01-05 08:55:25.622256,0.7625851771177706,0.9762585177117771,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
15,2023-01-05 13:27:39.122228,2023-01-05 13:49:38.341360,0.8604672071704665,0.9860467207170467,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
16,2023-01-06 08:20:47.549822,2023-01-06 08:59:36.879143,0.7536286295489556,0.9753628629548956,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
17,2023-01-06 13:20:51.377560,2023-01-06 13:43:06.963691,0.858736082328115,0.9858736082328114,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
18,2023-01-07 08:29:33.458870,2023-01-07 09:08:46.175732,0.7511549472641506,0.9751154947264151,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
19,2023-01-07 13:28:20.690822,2023-01-07 13:50:52.467559,0.8570236143845348,0.9857023614384535,dff4c06008604f528a2884f97ccad3a0,Private Semi-fast (22 kW),22.0
20,2023-01-01 18:25:07.585016,2023-01-01 19:29:08.202300,0.8828286252354048,0.9882828625235405,fc7908ad4485434129ce84691691b39c,Residential Slow (7.2 kW),7.2
21,2023-01-02 18:25:01.942883,2023-01-02 18:35:00.078685,0.9817517890772127,0.9981751789077212,fc7908ad4485434129ce84691691b39c,Residential Slow (7.2 kW),7.2
22,2023-01-03 18:29:04.687198,2023-01-03 18:33:50.118062,0.9912919397363466,0.9991291939736346,fc7908ad4485434129ce84691691b39c,Residential Slow (7.2 kW),7.2
23,2023-01-04 18:33:02.293158,2023-01-04 18:37:12.255998,0.9923740150659133,0.9992374015065913,fc7908ad4485434129ce84691691b39c,Residential Slow (7.2 kW),7.2
24,2023-01-05 18:25:04.760846,2023-01-05 18:29:19.571945,0.9922261020715631,0.9992226102071563,fc7908ad4485434129ce84691691b39c,Residential Slow (7.2 kW),7.2
25,2023-01-06 18:25:00.534147,2023-01-06 18:28:59.039948,0.992723551826742,0.9992723551826742,fc7908ad4485434129ce84691691b39c,Residential Slow (7.2 kW),7.2
26,2023-01-01 18:34:48.146205,2023-01-01 21:48:34.220279,0.8658529914529914,0.9865852991452991,92e6ef29c5eb156d584ec54c50ea42c4,Residential Slow (3.6 kW),3.6
27,2023-01-02 18:37:12.173498,2023-01-02 19:42:01.694486,0.9551209116809117,0.9955120911680911,92e6ef29c5eb156d584ec54c50ea42c4,Residential Slow (3.6 kW),3.6
28,2023-01-03 18:32:26.007859,2023-01-03 19:24:54.466131,0.9636716353276352,0.9963671635327636,92e6ef29c5eb156d584ec54c50ea42c4,Residential Slow (3.6 kW),3.6
29,2023-01-04 18:31:38.867104,2023-01-04 19:25:27.490709,0.9627466507122506,0.9962746650712251,92e6ef29c5eb156d584ec54c50ea42c4,Residential Slow (3.6 kW),3.6
